"","board.size","bt.runtime1","bt.assignment1","bt.pruning1","fc.runtime1","fc.assignment1","fc.pruning1","gac.runtime1","gac.assignment1","gac.pruning1"
"1",1,0.0008059978,1.6,0,0.00072546,1.6,0,0.000886917,1,0
"2",2,0.00115516195,7.15,0,0.0012981176,5.3,4.85,0.001345694,5,5
"3",3,0.00599115686666667,33.5111111111111,0,0.0048905584,19.9777777777778,19.1333333333333,0.00910035788888889,11.1111111111111,16.1111111111111
"4",4,0.15127828715,198.65,0,0.1291748016875,97.875,120.2875,0.311105534375,27.4375,51.375
"5",5,31.028516652248,7001.368,0,10.839113689448,1573.784,2223.232,5.21598078736,189.52,666.28
"6",6,NA,NA,NA,NA,NA,NA,60.7180363730345,474.758620689655,1241.68965517241
"7",7,NA,NA,NA,NA,NA,NA,38.88948961725,323.821428571429,786.571428571429
"8",8,NA,NA,NA,NA,NA,NA,88.155338161125,172.6875,506.1875
"9",9,NA,NA,NA,NA,NA,NA,115.67709038775,106.53125,285.28125
"10",10,218.794859370512,3770199.58139535,0,173.697421487881,2035283.57142857,1174980.38095238,118.464912258194,121.741935483871,245.483870967742
